benchmark_id,strategy,query,difficulty,retrieval_challenge,precision_at_k,recall_at_k,hit,reciprocal_rank,map_at_k,r_precision,ndcg_at_k,latency_ms,predicted_intent,expected_intent,intent_correct,predicted_category,expected_category,category_correct,relevant_note_ids,retrieved_note_ids,error
19,semantic,Bills to pay,medium,,0.4,1.0,True,1.0,0.8333,0.5,0.9197,1.56,,todo,,,To Do,,"77,82","77,341,82,393,368",
20,semantic,Doctor appointment,easy,,0.4,1.0,True,0.5,0.45,0.5,0.6241,1.12,,todo,,,To Do,,"78,79","559,79,198,601,78",
21,semantic,Shopping list,medium,,0.2,1.0,True,0.25,0.25,0.0,0.4307,1.1,,todo,,,To Do,,76,"393,606,322,76,475",
22,semantic,Things I need to tell Sid,easy,,0.8,1.0,True,1.0,1.0,1.0,1.0,1.6,,communication,,,Things to Tell Sid,,"54,55,56,57","54,56,57,55,423",
23,semantic,Next meeting with the design team,medium,,0.2,0.5,True,0.25,0.125,0.0,0.2641,2.15,,meeting,,,Meetings,,"106,107","57,88,568,106,448",
24,semantic,Project deadline for the alpha release,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,1.35,,project,,,Projects,,"89,91","233,498,453,466,528",
25,semantic,Remind me to call mom,easy,,0.2,0.5,True,0.3333,0.1667,0.0,0.3066,1.51,,todo,,,To Do,,"78,79","382,475,79,312,56",
26,semantic,What is the theory of relativity?,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,2.41,,question,,,Questions,,"103,104,105","489,290,565,225,116",
27,semantic,Ideas for my new blog post,medium,,0.2,0.25,True,0.2,0.05,0.0,0.151,2.04,,idea,,,Ideas,,"85,86,87,88","255,555,582,554,86",
28,semantic,How to set up a kubernetes cluster,hard,,0.2,1.0,True,1.0,1.0,1.0,1.0,1.81,,study,,,Study Tasks,,62,"62,118,712,812,912",
29,semantic,Things to discuss with Sid at the next meeting,easy,,0.6,0.75,True,1.0,0.75,0.75,0.8319,1.27,,communication,,,Things to Tell Sid,,"54,55,56,57","57,54,56,423,247",
30,semantic,Study materials for machine learning,medium,,0.0,0.0,False,0.0,0.0,0.0,0.0,1.02,,study,,,Study Tasks,,"64,65,66,67","309,528,439,619,357",
31,semantic,Meeting notes from Q3 planning,easy,,0.4,1.0,True,0.5,0.45,0.5,0.6241,1.24,,meeting,,,Meetings,,"106,107","203,106,87,290,107",
32,semantic,What are the project requirements for KnowledgeVault?,medium,,0.4,0.25,True,1.0,0.1875,0.25,0.4852,1.31,,reference,,,Reference Notes,,"89,90,91,92,93,94,95,96","95,638,125,90,262",
33,semantic,Reminders for next week,medium,,0.4,0.4,True,1.0,0.28,0.4,0.4704,1.12,,todo,,,To Do,,"76,77,78,79,80","79,56,423,475,77",
34,semantic,Questions to ask during the interview,easy,,0.4,1.0,True,0.5,0.5,0.5,0.6509,1.2,,question,,,Questions,,"70,99","352,70,154,99,360",
35,semantic,Brainstorming app names,easy,,0.2,0.25,True,1.0,0.25,0.25,0.3904,1.13,,idea,,,Ideas,,"85,86,87,88","85,97,330,117,568",
36,semantic,Redis and PostgreSQL reference notes,hard,,0.4,0.6667,True,1.0,0.6667,0.6667,0.7654,1.38,,reference,,,Reference Notes,,"73,74,58","73,74,269,724,824",
37,semantic,Message to send to Siddhant about backend,medium,,0.6,1.0,True,1.0,0.7556,0.6667,0.8855,1.86,,communication,,,Things to Tell Sid,,"56,57,54","56,423,54,55,57",
38,semantic,Study schedule for finals,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,1.32,,study,,,Study Tasks,,"58,59,60,61","198,617,434,601,448",
39,semantic,Sprint planning meeting summary,easy,,0.2,0.5,True,1.0,0.5,0.5,0.6131,1.1,,meeting,,,Meetings,,"107,106","107,294,466,498,263",
40,semantic,Timeline for the beta launch,medium,,0.0,0.0,False,0.0,0.0,0.0,0.0,1.67,,todo,,,To Do,,"89,91","498,466,620,233,553",
41,semantic,Don't forget to buy milk,easy,,0.2,1.0,True,1.0,1.0,1.0,1.0,1.26,,todo,,,To Do,,76,"76,322,475,84,286",
42,semantic,How does Redis eviction work?,easy,,0.4,0.6667,True,1.0,0.6667,0.6667,0.7654,1.71,,question,,,Questions,,"103,73,61","103,73,673,643,773",
43,semantic,Ideas for improving KnowledgeVault,medium,,0.6,0.6,True,1.0,0.4533,0.6,0.6399,1.56,,idea,,,Ideas,,"86,87,88,89,90","90,125,89,638,88",
44,semantic,Docker commands cheat sheet,easy,,0.4,1.0,True,1.0,1.0,1.0,1.0,1.68,,reference,,,Reference Notes,,"72,75","72,75,688,355,788",
45,semantic,Tell Sid about the hackathon,easy,,0.4,1.0,True,1.0,0.8333,0.5,0.9197,2.04,,communication,,,Things to Tell Sid,,"55,54","55,57,54,423,448",
46,semantic,System design interview study,medium,,0.4,0.5,True,1.0,0.5,0.5,0.6367,1.45,,study,,,Study Tasks,,"70,99,59,60","70,99,360,309,106",
47,semantic,Weekly sync notes,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,2.18,,meeting,,,Meetings,,"106,107","620,372,87,203,631",
48,semantic,Budget and monthly expenses,medium,,0.2,0.5,True,1.0,0.5,0.5,0.6131,2.06,,todo,,,To Do,,"82,77","82,216,535,281,606",
49,semantic,Health checkup and appointments,easy,,0.2,0.3333,True,1.0,0.3333,0.3333,0.4693,1.45,,todo,,,To Do,,"78,79,80","79,601,559,109,475",
50,semantic,What are PostgreSQL index types?,easy,,0.2,0.3333,True,1.0,0.3333,0.3333,0.4693,1.38,,question,,,Questions,,"104,74,58","104,417,831,731,931",
1,intent,What startup ideas do I have?,easy,,0.2,0.3333,True,1.0,0.3333,0.3333,0.4693,66.65,idea,idea,True,Ideas - AI,Ideas,True,"85,86,87","85,178",
2,intent,Show my AI research reading goals,easy,,0.2,0.25,True,1.0,0.25,0.25,0.3904,29.01,study,study,True,Study - AI,Study Tasks,True,"65,64,66,67",65,
3,intent,How can I improve my health?,medium,,0.0,0.0,False,0.0,0.0,0.0,0.0,26.23,question,todo,False,,To Do,,"83,84",,
4,intent,Show my finance reminders,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,28.25,reminder,todo,False,Reminders,To Do,False,"77,82","557,542,312,84,80",
5,intent,Evaluation report work,medium,,0.0,0.0,False,0.0,0.0,0.0,0.0,29.18,general,reference,False,General,Reference Notes,False,"90,89","1093,1078,1077,1067,1059",
6,intent,Markdown support,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,28.91,general,reference,False,General,Reference Notes,False,"72,73,74,75","1093,1078,1077,1067,1059",
7,intent,Improve search latency,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,35.43,general,reference,False,General,Reference Notes,False,"93,89","1093,1078,1077,1067,1059",
8,intent,Attachment upload feature,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,26.66,general,reference,False,General,Reference Notes,False,94,"1093,1078,1077,1067,1059",
9,intent,Flutter improvements,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,26.56,general,reference,False,General,Reference Notes,False,"97,98","1093,1078,1077,1067,1059",
10,intent,Networking concepts,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,33.77,idea,study,False,Ideas - AI,Study Tasks,False,"71,62",85,
11,intent,Object oriented programming revision,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,27.38,study,study,True,,Study Tasks,,"59,60",,
12,intent,Interview preparation,medium,,0.0,0.0,False,0.0,0.0,0.0,0.0,35.51,general,study,False,General,Study Tasks,False,"70,99","1093,1078,1077,1067,1059",
13,intent,Portfolio website,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,27.42,general,todo,False,General,To Do,False,"100,97","1093,1078,1077,1067,1059",
14,intent,Documentation tasks,easy,,0.2,0.5,True,1.0,0.5,0.5,0.6131,26.67,reference,todo,False,Reference - Knowledgevault Backend,To Do,False,"96,95",96,
15,intent,Deploy KnowledgeVault,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,34.52,todo,todo,True,Tasks,To Do,True,91,"1102,1098,1096,1092,1086",
16,intent,Update GitHub README,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,30.63,todo,todo,True,Tasks,To Do,True,96,"1102,1098,1096,1092,1086",
17,intent,Resume preparation,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,28.99,general,todo,False,General,To Do,False,100,"1093,1078,1077,1067,1059",
18,intent,Weekend trip,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,26.74,general,todo,False,General,To Do,False,81,"1093,1078,1077,1067,1059",
19,intent,Bills to pay,medium,,0.0,0.0,False,0.0,0.0,0.0,0.0,25.69,todo,todo,True,Bills,To Do,True,"77,82","1035,935,835,735,375",
20,intent,Doctor appointment,easy,,0.2,0.5,True,1.0,0.5,0.5,0.6131,27.09,reminder,todo,False,Appointments,To Do,True,"78,79","79,557,542,312,84",
21,intent,Shopping list,medium,,0.0,0.0,False,0.0,0.0,0.0,0.0,25.78,general,todo,False,General,To Do,False,76,"1093,1078,1077,1067,1059",
22,intent,Things I need to tell Sid,easy,,0.4,0.5,True,0.5,0.2917,0.5,0.4415,33.85,communication,communication,True,Communication - Sid,Things to Tell Sid,True,"54,55,56,57","247,57,54",
23,intent,Next meeting with the design team,medium,,0.0,0.0,False,0.0,0.0,0.0,0.0,25.3,event,meeting,False,,Meetings,,"106,107",,
24,intent,Project deadline for the alpha release,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,30.58,todo,project,False,Tasks,Projects,False,"89,91","1102,1098,1096,1092,1086",
25,intent,Remind me to call mom,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,24.03,communication,todo,False,,To Do,,"78,79",,
26,intent,What is the theory of relativity?,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,25.54,question,question,True,,Questions,,"103,104,105",,
27,intent,Ideas for my new blog post,medium,,0.0,0.0,False,0.0,0.0,0.0,0.0,23.98,idea,idea,True,,Ideas,,"85,86,87,88",,
28,intent,How to set up a kubernetes cluster,hard,,0.0,0.0,False,0.0,0.0,0.0,0.0,33.86,question,study,False,,Study Tasks,,62,,
29,intent,Things to discuss with Sid at the next meeting,easy,,0.4,0.5,True,0.5,0.2917,0.5,0.4415,28.88,communication,communication,True,Communication - Sid,Things to Tell Sid,True,"54,55,56,57","247,57,54",
30,intent,Study materials for machine learning,medium,,0.0,0.0,False,0.0,0.0,0.0,0.0,25.51,study,study,True,,Study Tasks,,"64,65,66,67",,
31,intent,Meeting notes from Q3 planning,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,25.18,event,meeting,False,,Meetings,,"106,107",,
32,intent,What are the project requirements for KnowledgeVault?,medium,,0.0,0.0,False,0.0,0.0,0.0,0.0,24.94,question,reference,False,,Reference Notes,,"89,90,91,92,93,94,95,96",,
33,intent,Reminders for next week,medium,,0.2,0.2,True,0.2,0.04,0.2,0.1312,27.4,reminder,todo,False,Reminders,To Do,False,"76,77,78,79,80","557,542,312,84,80",
34,intent,Questions to ask during the interview,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,22.94,communication,question,False,,Questions,,"70,99",,
35,intent,Brainstorming app names,easy,,0.2,0.25,True,1.0,0.25,0.25,0.3904,35.13,idea,idea,True,Ideas - AI,Ideas,True,"85,86,87,88",85,
36,intent,Redis and PostgreSQL reference notes,hard,,0.2,0.3333,True,1.0,0.3333,0.3333,0.4693,33.16,reference,reference,True,Reference - PostgreSQL,Reference Notes,True,"73,74,58","74,1105,1005,905,805",
37,intent,Message to send to Siddhant about backend,medium,,0.0,0.0,False,0.0,0.0,0.0,0.0,23.53,communication,communication,True,,Things to Tell Sid,,"56,57,54",,
38,intent,Study schedule for finals,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,23.95,study,study,True,,Study Tasks,,"58,59,60,61",,
39,intent,Sprint planning meeting summary,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,25.44,event,meeting,False,,Meetings,,"107,106",,
40,intent,Timeline for the beta launch,medium,,0.0,0.0,False,0.0,0.0,0.0,0.0,39.79,todo,todo,True,Tasks,To Do,True,"89,91","1102,1098,1096,1092,1086",
41,intent,Don't forget to buy milk,easy,,0.2,1.0,True,0.5,0.5,0.0,0.6309,34.78,todo,todo,True,Shopping,To Do,True,76,"322,76,1102,1098,1096",
42,intent,How does Redis eviction work?,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,24.02,question,question,True,,Questions,,"103,73,61",,
43,intent,Ideas for improving KnowledgeVault,medium,,0.0,0.0,False,0.0,0.0,0.0,0.0,23.36,idea,idea,True,,Ideas,,"86,87,88,89,90",,
44,intent,Docker commands cheat sheet,easy,,0.4,1.0,True,1.0,1.0,1.0,1.0,27.08,reference,reference,True,Reference - Docker,Reference Notes,True,"72,75","75,72",
45,intent,Tell Sid about the hackathon,easy,,0.2,0.5,True,0.3333,0.1667,0.0,0.3066,27.83,communication,communication,True,Communication - Sid,Things to Tell Sid,True,"55,54","247,57,54",
46,intent,System design interview study,medium,,0.2,0.25,True,1.0,0.25,0.25,0.3904,25.92,study,study,True,Study - System Design,Study Tasks,True,"70,99,59,60",70,
47,intent,Weekly sync notes,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,24.09,reference,meeting,False,,Meetings,,"106,107",,
48,intent,Budget and monthly expenses,medium,,0.0,0.0,False,0.0,0.0,0.0,0.0,28.25,general,todo,False,General,To Do,False,"82,77","1093,1078,1077,1067,1059",
49,intent,Health checkup and appointments,easy,,0.2,0.3333,True,1.0,0.3333,0.3333,0.4693,29.01,reminder,todo,False,Appointments,To Do,True,"78,79,80","79,557,542,312,84",
50,intent,What are PostgreSQL index types?,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,24.26,question,question,True,,Questions,,"104,74,58",,
1,hybrid,What startup ideas do I have?,easy,,0.2,0.3333,True,1.0,0.3333,0.3333,0.4693,81.77,idea,idea,True,Ideas - AI,Ideas,True,"85,86,87","85,525,617,134,441,553,459,255,166,685,785,885,985,1085,178,475,322,391,607,753",
2,hybrid,Show my AI research reading goals,easy,,0.0,0.0,False,0.1429,0.0,0.0,0.0,76.92,study,study,True,Study - AI,Study Tasks,True,"65,64,66,67","529,617,416,85,230,87,65,122,166,685,785,885,985,1085,240,525,523,290,413,235",
3,hybrid,How can I improve my health?,medium,,0.4,1.0,True,1.0,0.8333,0.5,0.9197,78.75,question,todo,False,,To Do,,"83,84","84,109,83,79,286,322,380,680,780,880,980,1080,76,157,355,688,788,888,988,1088",
4,hybrid,Show my finance reminders,easy,,0.4,1.0,True,0.3333,0.4167,0.0,0.5706,142.28,reminder,todo,False,Reminders,To Do,False,"77,82","312,216,82,77,393,375,735,835,935,1035,442,755,855,955,1055,583,699,799,899,999",
5,hybrid,Evaluation report work,medium,,0.2,0.5,True,0.5,0.25,0.5,0.3869,91.5,general,reference,False,General,Reference Notes,False,"90,89","616,90,485,453,375,735,835,935,1035,487,525,310,555,103,470,251,185,498,213,729",
6,hybrid,Markdown support,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,81.08,general,reference,False,General,Reference Notes,False,"72,73,74,75","558,568,492,582,96,289,581,653,87,251,523,625,449,442,755,855,955,1055,386,338",
7,hybrid,Improve search latency,easy,,0.2,0.5,True,1.0,0.5,0.5,0.6131,87.45,general,reference,False,General,Reference Notes,False,"93,89","93,402,195,333,86,644,567,704,804,904,1004,1104,213,729,829,929,1029,58,61,310",
8,hybrid,Attachment upload feature,easy,,0.2,1.0,True,1.0,1.0,1.0,1.0,97.87,general,reference,False,General,Reference Notes,False,94,"94,642,492,96,432,692,792,892,992,1092,386,506,523,465,486,702,802,902,1002,1102",
9,hybrid,Flutter improvements,easy,,0.4,1.0,True,1.0,1.0,1.0,1.0,90.05,general,reference,False,General,Reference Notes,False,"97,98","98,97,93,372,564,467,142,655,653,61,444,175,337,295,568,442,755,855,955,1055",
10,hybrid,Networking concepts,easy,,0.0,0.0,False,0.0588,0.0,0.0,0.0,76.45,idea,study,False,Ideas - AI,Study Tasks,False,"71,62","491,722,822,922,1022,532,99,633,439,327,106,516,711,811,911,1011,62,392,159,299",
11,hybrid,Object oriented programming revision,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,83.87,study,study,True,,Study Tasks,,"59,60","163,414,227,193,679,779,879,979,1079,330,117,235,311,390,169,562,419,247,309,270",
12,hybrid,Interview preparation,medium,,0.2,0.5,True,0.25,0.125,0.0,0.2641,93.53,general,study,False,General,Study Tasks,False,"70,99","352,100,360,70,609,507,154,288,344,468,199,152,294,540,99,521,126,236,413,205",
13,hybrid,Portfolio website,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,92.15,general,todo,False,General,To Do,False,"100,97","266,751,851,951,1051,131,117,528,413,555,178,360,65,66,525,619,60,175,607,753",
14,hybrid,Documentation tasks,easy,,0.2,0.5,True,0.5,0.25,0.5,0.3869,82.08,reference,todo,False,Reference - Knowledgevault Backend,To Do,False,"96,95","110,96,485,87,583,699,799,899,999,1099,453,186,565,360,558,330,487,625,523,510",
15,hybrid,Deploy KnowledgeVault,easy,,0.2,1.0,True,1.0,1.0,1.0,1.0,107.13,todo,todo,True,Tasks,To Do,True,91,"91,89,95,90,125,96,94,88,638,97,57,337,251,262,607,753,853,953,1053,555",
16,hybrid,Update GitHub README,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,96.04,todo,todo,True,Tasks,To Do,True,96,"440,501,522,395,400,328,612,646,366,235,497,719,819,919,1019,614,141,193,679,779",
17,hybrid,Resume preparation,easy,,0.2,1.0,True,1.0,1.0,1.0,1.0,86.78,general,todo,False,General,To Do,False,100,"100,525,142,185,523,107,288,352,601,521,184,360,415,485,199,617,268,682,782,882",
18,hybrid,Weekend trip,easy,,0.2,1.0,True,0.5,0.5,0.0,0.6309,80.42,general,todo,False,General,To Do,False,81,"77,81,128,407,190,198,351,324,393,575,538,400,375,735,835,935,1035,631,627,639",
19,hybrid,Bills to pay,medium,,0.4,1.0,True,1.0,0.8333,0.5,0.9197,97.53,todo,todo,True,Bills,To Do,True,"77,82","77,341,82,393,368,312,490,178,331,411,216,76,140,399,371,403,635,322,285,573",
20,hybrid,Doctor appointment,easy,,0.4,1.0,True,0.5,0.45,0.5,0.6241,80.75,reminder,todo,False,Appointments,To Do,True,"78,79","559,79,198,601,78,609,70,56,231,54,575,448,288,475,111,356,423,59,57,81",
21,hybrid,Shopping list,medium,,0.2,1.0,True,0.2,0.2,0.0,0.3869,80.37,general,todo,False,General,To Do,False,76,"170,393,606,322,76,475,216,115,202,605,358,145,204,182,82,265,303,331,178,309",
22,hybrid,Things I need to tell Sid,easy,,0.8,1.0,True,1.0,1.0,1.0,1.0,75.82,communication,communication,True,Communication - Sid,Things to Tell Sid,True,"54,55,56,57","54,57,56,55,423,247,442,755,855,955,1055,203,230,382,268,682,782,882,982,1082",
23,hybrid,Next meeting with the design team,medium,,0.2,0.5,True,0.25,0.125,0.0,0.2641,73.2,event,meeting,False,,Meetings,,"106,107","57,88,568,106,448,360,56,107,382,626,95,528,141,175,70,330,442,755,855,955",
24,hybrid,Project deadline for the alpha release,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,96.37,todo,project,False,Tasks,Projects,False,"89,91","233,498,190,252,257,264,270,289,309,317,480,497,591,616,644,696,715,719,796,815",
25,hybrid,Remind me to call mom,easy,,0.2,0.5,True,0.3333,0.1667,0.0,0.3066,76.73,communication,todo,False,,To Do,,"78,79","382,475,79,312,56,78,77,54,290,212,182,550,700,800,900,1000,1100,322,55,317",
26,hybrid,What is the theory of relativity?,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,68.69,question,question,True,,Questions,,"103,104,105","489,290,565,225,116,424,306,102,287,613,298,726,826,926,1026,130,608,175,179,260",
27,hybrid,Ideas for my new blog post,medium,,0.2,0.25,True,0.2,0.05,0.0,0.151,71.66,idea,idea,True,,Ideas,,"85,86,87,88","255,555,582,554,86,413,85,525,375,735,835,935,1035,453,337,208,442,755,855,955",
28,hybrid,How to set up a kubernetes cluster,hard,,0.2,1.0,True,1.0,1.0,1.0,1.0,78.13,question,study,False,,Study Tasks,,62,"62,118,712,812,912,1012,410,383,91,352,192,439,95,609,392,566,710,810,910,1010",
29,hybrid,Things to discuss with Sid at the next meeting,easy,,0.6,0.75,True,1.0,0.75,0.75,0.8319,79.79,communication,communication,True,Communication - Sid,Things to Tell Sid,True,"54,55,56,57","57,54,56,423,247,55,203,442,755,855,955,1055,230,448,263,185,175,107,81,382",
30,hybrid,Study materials for machine learning,medium,,0.0,0.0,False,0.125,0.0,0.0,0.0,72.8,study,study,True,,Study Tasks,,"64,65,66,67","309,528,439,619,357,60,360,66,343,592,178,74,547,266,751,851,951,1051,196,529",
31,hybrid,Meeting notes from Q3 planning,easy,,0.4,1.0,True,0.5,0.45,0.5,0.6241,76.95,event,meeting,False,,Meetings,,"106,107","203,106,87,290,107,372,448,175,438,56,371,423,212,479,444,539,141,60,617,216",
32,hybrid,What are the project requirements for KnowledgeVault?,medium,,0.4,0.25,True,1.0,0.1875,0.375,0.4852,73.48,question,reference,False,,Reference Notes,,"89,90,91,92,93,94,95,96","95,638,125,90,262,89,57,247,555,96,97,88,413,428,728,828,928,1028,337,107",
33,hybrid,Reminders for next week,medium,,0.2,0.2,True,1.0,0.2,0.2,0.3392,75.71,reminder,todo,False,Reminders,To Do,False,"76,77,78,79,80","79,56,423,312,475,77,198,382,631,107,392,216,442,755,855,955,1055,57,528,557",
34,hybrid,Questions to ask during the interview,easy,,0.4,1.0,True,0.5,0.5,0.5,0.6509,68.79,communication,question,False,,Questions,,"70,99","352,70,154,99,360,468,294,199,540,459,593,344,609,507,413,205,54,126,398,470",
35,hybrid,Brainstorming app names,easy,,0.2,0.25,True,1.0,0.25,0.25,0.3904,72.38,idea,idea,True,Ideas - AI,Ideas,True,"85,86,87,88","85,97,330,117,568,617,448,155,525,87,266,751,851,951,1051,459,382,175,166,685",
36,hybrid,Redis and PostgreSQL reference notes,hard,,0.4,0.6667,True,1.0,0.6667,0.6667,0.7654,85.36,reference,reference,True,Reference - PostgreSQL,Reference Notes,True,"73,74,58","73,74,269,724,824,924,1024,421,746,846,946,1046,92,643,673,773,873,973,1073,61",
37,hybrid,Message to send to Siddhant about backend,medium,,0.6,1.0,True,1.0,0.7556,0.6667,0.8855,76.01,communication,communication,True,,Things to Tell Sid,,"56,57,54","56,423,54,55,57,106,392,372,129,91,132,658,758,858,958,1058,247,61,337,96",
38,hybrid,Study schedule for finals,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,82.23,study,study,True,,Study Tasks,,"58,59,60,61","198,617,434,601,448,521,107,343,224,524,380,680,780,880,980,1080,317,344,495,620",
39,hybrid,Sprint planning meeting summary,easy,,0.2,0.5,True,1.0,0.5,0.5,0.6131,73.28,event,meeting,False,,Meetings,,"107,106","107,294,466,498,263,203,216,448,567,704,804,904,1004,1104,423,56,438,352,468,538",
40,hybrid,Timeline for the beta launch,medium,,0.0,0.0,False,0.0,0.0,0.0,0.0,100.09,todo,todo,True,Tasks,To Do,True,"89,91","155,190,252,257,264,270,289,309,480,497,591,616,644,696,715,719,796,815,819,896",
41,hybrid,Don't forget to buy milk,easy,,0.2,1.0,True,1.0,1.0,1.0,1.0,94.33,todo,todo,True,Shopping,To Do,True,76,"76,322,475,84,286,78,83,79,134,202,309,343,496,584,586,77,281,82,190,109",
42,hybrid,How does Redis eviction work?,easy,,0.4,0.6667,True,1.0,0.6667,0.6667,0.7654,72.79,question,question,True,,Questions,,"103,73,61","103,73,643,673,773,873,973,1073,433,705,805,905,1005,1105,92,269,724,824,924,1024",
43,hybrid,Ideas for improving KnowledgeVault,medium,,0.6,0.6,True,1.0,0.4533,0.6,0.6399,72.79,idea,idea,True,,Ideas,,"86,87,88,89,90","90,125,89,638,88,428,728,828,928,1028,555,95,57,97,96,262,247,337,444,107",
44,hybrid,Docker commands cheat sheet,easy,,0.4,1.0,True,1.0,1.0,1.0,1.0,76.18,reference,reference,True,Reference - Docker,Reference Notes,True,"72,75","72,75,355,688,788,888,988,1088,192,105,295,138,491,722,822,922,1022,383,91,445",
45,hybrid,Tell Sid about the hackathon,easy,,0.4,1.0,True,1.0,0.8333,0.5,0.9197,72.39,communication,communication,True,Communication - Sid,Things to Tell Sid,True,"55,54","55,57,54,423,448,56,542,324,463,319,247,535,442,755,855,955,1055,449,553,436",
46,hybrid,System design interview study,medium,,0.4,0.5,True,1.0,0.5,0.5,0.6367,77.0,study,study,True,Study - System Design,Study Tasks,True,"70,99,59,60","70,99,360,309,106,392,540,352,102,88,199,344,59,442,755,855,955,1055,169,126",
