benchmark_id,strategy,query,difficulty,retrieval_challenge,precision_at_k,recall_at_k,hit,reciprocal_rank,map_at_k,r_precision,ndcg_at_k,latency_ms,predicted_intent,expected_intent,intent_correct,predicted_category,expected_category,category_correct,relevant_note_ids,retrieved_note_ids,error
42,semantic,How does Redis eviction work?,easy,,0.4,0.6667,True,1.0,0.6667,0.6667,0.7654,43.59,,question,,,Questions,,"103,73,61","103,73,673,643,773",
43,semantic,Ideas for improving KnowledgeVault,medium,,0.6,0.6,True,1.0,0.4533,0.6,0.6399,43.08,,idea,,,Ideas,,"86,87,88,89,90","90,125,89,638,88",
44,semantic,Docker commands cheat sheet,easy,,0.4,1.0,True,1.0,1.0,1.0,1.0,43.3,,reference,,,Reference Notes,,"72,75","72,75,688,355,788",
45,semantic,Tell Sid about the hackathon,easy,,0.4,1.0,True,1.0,0.8333,0.5,0.9197,43.34,,communication,,,Things to Tell Sid,,"55,54","55,57,54,423,448",
46,semantic,System design interview study,medium,,0.4,0.5,True,1.0,0.5,0.5,0.6367,40.86,,study,,,Study Tasks,,"70,99,59,60","70,99,360,309,106",
47,semantic,Weekly sync notes,easy,,0.0,0.0,False,0.0,0.0,0.0,0.0,40.34,,meeting,,,Meetings,,"106,107","620,372,87,203,631",
48,semantic,Budget and monthly expenses,medium,,0.2,0.5,True,1.0,0.5,0.5,0.6131,44.76,,todo,,,To Do,,"82,77","82,216,535,281,606",
49,semantic,Health checkup and appointments,easy,,0.2,0.3333,True,1.0,0.3333,0.3333,0.4693,44.06,,todo,,,To Do,,"78,79,80","79,601,559,109,475",
50,semantic,What are PostgreSQL index types?,easy,,0.2,0.3333,True,1.0,0.3333,0.3333,0.4693,42.67,,question,,,Questions,,"104,74,58","104,417,831,731,931",
108_tp_62f888,semantic,What are useful Python tips and tricks I've learned?,easy,semantic,0.2,0.125,True,0.5,0.0625,0.125,0.214,48.75,,study,,,Study - Python,,"108,174,177,206,232,239,272,283","318,206,633,357,464",
108_tp_89ce75,semantic,Show my Python programming notes,easy,lexical,0.0,0.0,False,0.0,0.0,0.0,0.0,42.81,,study,,,Study - Python,,"108,174,177,206,232,239,272,283","87,799,583,699,899",
170_tp_39fb15,semantic,How does Python async programming work?,medium,semantic,0.2,0.1,True,0.5,0.05,0.1,0.214,41.09,,study,,,Study - Python,,"170,283,304,359,364,372,471,661,662,663","934,304,734,834,1034",
130_tp_e144a1,semantic,What git commands and workflows have I noted?,easy,semantic,0.2,0.1,True,0.5,0.05,0.1,0.214,43.58,,reference,,,Reference - Git,,"130,135,144,169,229,272,317,328,366,395","612,328,501,614,522",
130_tp_832398,semantic,Git tips and tricks,easy,lexical,0.0,0.0,False,0.0,0.0,0.0,0.0,37.01,,reference,,,Reference - Git,,"130,135,144,169,229,272,317,328,366,395","646,719,819,497,919",
65_tp_3e802c,semantic,What do I know about RAG systems?,medium,semantic,0.2,0.1,True,0.2,0.02,0.1,0.1312,40.43,,study,,,Study - AI,,"65,114,186,197,219,222,267,296,310,376","386,436,470,565,197",
65_tp_034576,semantic,Retrieval augmented generation notes,easy,lexical,0.4,0.2,True,1.0,0.2,0.2,0.5531,37.59,,study,,,Study - AI,,"65,114,186,197,219,222,267,296,310,376","65,186,398,184,289",
168_tp_f44ea2,semantic,Notes about embeddings and vector search,medium,semantic,0.2,0.1,True,0.25,0.025,0.1,0.1461,38.35,,study,,,Study - AI,,"168,183,228,289,298,323,376,486,487,523","196,333,726,298,826",
60_tp_438fb0,semantic,Large language model notes and findings,medium,semantic,0.2,0.1,True,1.0,0.1,0.1,0.3392,39.97,,study,,,Study - AI,,"60,119,122,136,143,186,251,268,313,329","186,404,808,708,908",
67_tp_248b82,semantic,Notes about reranking in search systems,hard,semantic,0.6,0.3,True,1.0,0.3,0.3,0.7227,39.69,,study,,,Study - AI,,"67,119,123,176,386,648,676,776,876,976","67,176,119,305,58",
90_tp_bed875,semantic,RAG and retrieval evaluation metrics,hard,multi_hop,0.6,0.4286,True,0.5,0.2738,0.4286,0.5296,37.95,,study,,,Study - AI,,"90,119,310,402,485,487,595","386,485,310,595,186",
90_tp_c1f487,semantic,How do I measure retrieval quality?,hard,semantic,0.6,0.375,True,1.0,0.3021,0.375,0.6548,38.21,,study,,,Study - AI,,"90,119,210,310,402,485,487,595","310,86,485,402,213",
130_tp_d166fd,semantic,Prompting techniques and tips,medium,semantic,0.4,0.2,True,1.0,0.2,0.2,0.5531,43.27,,study,,,Study - AI,,"130,191,264,268,406,436,446,456,467,493","406,264,507,459,199",
103_tp_bee00a,semantic,Caching strategies and implementations,medium,semantic,0.0,0.0,False,0.0,0.0,0.0,0.0,38.48,,study,,,Study - System Design,,"103,124,146,237,269,275,284,295,318,336","61,93,644,602,467",
71_tp_b1348d,semantic,Message queue and event streaming notes,medium,semantic,0.0,0.0,False,0.0,0.0,0.0,0.0,39.19,,study,,,Study - System Design,,"71,102,144,174,200,218,238,269,297,304","871,671,771,450,971",
70_tp_c5e045,semantic,System design interview prep notes,medium,semantic,0.6,0.3,True,1.0,0.275,0.3,0.6992,37.85,,study,,,Study - System Design,,"70,145,255,267,305,309,334,344,346,360","360,70,106,309,99",
58_tp_257a95,semantic,PostgreSQL database notes,medium,lexical,0.4,0.2,True,1.0,0.2,0.2,0.5531,38.46,,study,,,Study - PostgreSQL,,"58,66,74,104,139,144,168,175,215,267","74,144,731,417,831",
61_tp_89afdd,semantic,Redis usage and patterns,easy,lexical,0.4,0.2,True,1.0,0.2,0.2,0.5531,37.21,,study,,,Study - Redis,,"61,73,92,103,124,146,157,174,237,246","73,92,724,269,824",
72_tp_c8e7e1,semantic,Docker and containerization notes,easy,lexical,0.8,0.4,True,1.0,0.4,0.4,0.8688,39.22,,study,,,Study - Docker,,"72,75,91,105,118,138,188,192,242,295","72,105,192,75,491",
72_tp_808bd0,semantic,What Docker tips have I collected?,easy,semantic,1.0,0.5,True,1.0,0.5,0.5,1.0,41.01,,reference,,,Reference - Docker,,"72,75,91,105,118,138,188,192,242,295","72,192,295,105,75",
68_tp_d59df1,semantic,FastAPI development notes,medium,lexical,0.4,0.2,True,1.0,0.1667,0.2,0.5087,39.23,,study,,,Study - FastAPI,,"68,132,145,165,167,266,272,313,350,365","68,825,165,725,925",
57_tp_c30342,semantic,KnowledgeVault project notes,easy,lexical,0.8,0.4,True,0.5,0.2717,0.4,0.6608,37.11,,reference,,,Reference - KnowledgeVault,,"57,88,89,90,91,94,95,96,97,107","125,95,96,89,90",
57_tp_5bc303,semantic,What decisions have I made for the KnowledgeVault project?,medium,multi_hop,0.2,0.1429,True,0.5,0.0714,0.1429,0.214,39.44,,reference,,,Reference - KnowledgeVault,,"88,89,90,91,95,96,97","638,90,728,428,828",
56_tp_7b886e,semantic,What meetings have I had?,easy,semantic,0.2,0.1,True,0.5,0.05,0.1,0.214,37.27,,event,,,Meetings,,"56,106,107,149,170,233,251,283,304,359","371,107,263,559,442",
233_tp_b305bf,semantic,What are my pending tasks and deadlines?,easy,semantic,0.2,1.0,True,0.3333,0.3333,0.0,0.5,38.01,,todo,,,Tasks,,233,"498,453,233,647,59",
78_tp_db66ee,semantic,What health appointments do I have?,easy,semantic,0.2,0.1,True,1.0,0.1,0.1,0.3392,37.48,,reminder,,,Appointments,,"78,79,109,157,201,210,212,226,231,355","79,601,559,575,198",
77_tp_c2ce55,semantic,What payments and bills do I need to make?,easy,semantic,0.2,0.1,True,0.5,0.05,0.1,0.214,39.28,,todo,,,Bills,,"77,120,126,128,131,137,140,144,160,162","341,77,82,635,368",
76_tp_d5a3f9,semantic,What is on my shopping list?,easy,lexical,0.4,1.0,True,0.5,0.45,0.5,0.6241,37.51,,todo,,,Shopping,,"76,322","393,322,606,115,76",
55_tp_1c812c,semantic,Show all my reminders,easy,semantic,0.2,0.1667,True,0.3333,0.0556,0.1667,0.1696,37.64,,reminder,,,Reminders,,"55,152,212,312,542,557","382,56,312,290,442",
82_tp_feed7d,semantic,My budget and expense tracking notes,easy,semantic,0.4,0.2,True,1.0,0.2,0.2,0.5531,37.36,,todo,,,Finance,,"82,153,202,210,216,254,281,291,331,345","82,216,606,393,285",
81_tp_4afce2,semantic,My travel plans and notes,easy,semantic,0.2,0.1,True,0.5,0.05,0.1,0.214,39.44,,todo,,,Travel,,"81,115,126,128,130,171,175,176,178,186","290,81,212,393,444",
173_tp_d9566a,semantic,Fitness and workout notes,easy,semantic,0.0,0.0,False,0.0,0.0,0.0,0.0,39.42,,todo,,,Health,,"173,185,202,232,246,291,317,380,392,433","631,481,87,482,83",
85_tp_6a3292,semantic,My startup ideas and business notes,easy,semantic,0.2,0.1,True,1.0,0.1,0.1,0.3392,38.19,,idea,,,Ideas - Startups,,"85,86,117,120,125,128,131,134,143,157","85,525,459,617,441",
85_tp_aeedec,semantic,What business ideas have I documented?,easy,semantic,0.2,0.1,True,0.3333,0.0333,0.1,0.1696,40.68,,idea,,,Ideas,,"85,86,117,120,125,128,131,134,143,157","225,178,85,441,459",
54_tp_6e7d12,semantic,Things I need to tell Sid,easy,lexical,0.8,0.4,True,1.0,0.4,0.4,0.8688,3.15,,communication,,,Things to Tell Sid,,"54,55,56,57,117,187,203,220,225,247","54,56,57,55,423",
54_tp_68cb9e,semantic,Things to discuss with Sid at the next meeting,easy,semantic,0.8,0.4,True,1.0,0.38,0.4,0.8539,1.75,,communication,,,Things to Tell Sid,,"54,55,56,57,117,187,203,220,225,247","57,54,56,423,247",
54_tp_a4d45e,semantic,Message to send to Siddhant about backend,medium,lexical_gap,0.8,0.4,True,1.0,0.3217,0.4,0.786,1.66,,communication,,,Things to Tell Sid,,"54,55,56,57,117,187,203,220,225,247","56,423,54,55,57",
518_tp_583ff7,semantic,Reciprocal Rank Fusion,medium,exact_phrase,1.0,1.0,True,1.0,1.0,1.0,1.0,38.32,,study,,,Study - AI,,"518,718,818,918,1018","918,518,818,718,1018",
1024_tp_8759f9,semantic,Redis vs Kafka — when to use each,hard,comparison,0.2,0.25,True,0.25,0.0625,0.25,0.1681,44.12,,study,,,Study - System Design,,"1024,771,773,520","873,673,643,773,973",
108_tp_d16fba,semantic,Resources for learning backend development,medium,semantic,0.0,0.0,False,0.0,0.0,0.0,0.0,39.45,,study,,,Study - Backend,,"132,68,165,108,206,174,177,145","106,61,330,96,101",
0_tp_6cd1aa,semantic,Notes about Fortran programming,hard,negative,0.0,0.0,False,0.0,0.0,0.0,0.0,38.21,,general,,,General,,,"465,547,619,471,663",
0_tp_b73b18,semantic,My notes on ancient Roman history,hard,negative,0.0,0.0,False,0.0,0.0,0.0,0.0,37.95,,general,,,General,,,"290,565,583,699,799",
0_tp_fe75c4,semantic,Cooking recipes I've saved,hard,negative,0.0,0.0,False,0.0,0.0,0.0,0.0,36.93,,general,,,General,,,"322,475,71,281,286",
1028_tp_65ec5f,semantic,KnowledgeVault RAG pipeline decisions and findings,hard,multi_hop,0.0,0.0,False,0.0,0.0,0.0,0.0,38.74,,reference,,,Reference - KnowledgeVault,,"1030,1032,533","310,90,446,730,830",
1028_tp_2e0731,semantic,What benchmark results have I recorded for KnowledgeVault retrieval?,hard,multi_hop,0.2,0.3333,True,0.3333,0.1111,0.3333,0.2346,42.42,,reference,,,Reference - KnowledgeVault,,"1032,523,402","310,90,402,213,729",
77_tp_d33a9c,semantic,What have I been working on this month?,hard,temporal,0.0,0.0,False,0.0,0.0,0.0,0.0,37.85,,general,,,General,,149,"453,77,82,647,375",
77_tp_c2c25c,semantic,Recent notes and activities,hard,temporal,0.0,0.0,False,0.0,0.0,0.0,0.0,37.66,,general,,,General,,"149,286","87,444,565,290,203",
1026_tp_74f5bc,semantic,My study notes on AI and machine learning,easy,synthesis,0.0,0.0,False,0.0,0.0,0.0,0.0,38.79,,study,,,Study - AI,,"1026,774,1030,510,523,268,267,782","529,230,87,619,85",
54_tp_636e21,semantic,Messages I need to send Siddhant,easy,lexical_gap,0.8,0.5,True,1.0,0.4021,0.5,0.786,52.08,,communication,,,Things to Tell Sid,,"54,55,56,57,117,187,203,220","56,423,55,54,57",
54_tp_d0b55d,semantic,Pending conversations with Sid,easy,semantic,0.8,0.5,True,1.0,0.4021,0.5,0.786,38.8,,communication,,,Things to Tell Sid,,"54,55,56,57,117,187,203,220","56,423,57,54,55",
54_tp_e69fe7,semantic,Notes about Sid and our project discussions,medium,semantic,0.6,0.375,True,1.0,0.325,0.375,0.6844,38.12,,communication,,,Things to Tell Sid,,"54,55,56,57,117,187,203,220","57,56,423,247,54",
85_tp_712892,semantic,Business concepts I want to explore,easy,semantic,0.4,0.25,True,0.25,0.0813,0.25,0.2773,40.59,,idea,,,Ideas,,"85,86,117,131,134,143,157,166","309,178,225,85,166",
85_tp_46bae2,semantic,Product ideas I have noted down,easy,semantic,0.4,0.25,True,1.0,0.175,0.25,0.4704,38.0,,idea,,,Ideas,,"85,86,117,131,134,143,157,166","85,322,202,475,117",
85_tp_97280d,semantic,Entrepreneurship and venture ideas,medium,lexical_gap,0.4,0.25,True,1.0,0.1875,0.25,0.4852,40.13,,idea,,,Ideas,,"85,86,117,131,134,143,157,166","85,785,685,166,885",
77_tp_c85047,semantic,Outstanding financial obligations,medium,lexical_gap,0.0,0.0,False,0.0,0.0,0.0,0.0,38.64,,todo,,,Bills,,"77,120,126,128,131,137,140,144","82,341,411,210,635",
77_tp_573aa5,semantic,Payments I still need to make,easy,semantic,0.0,0.0,False,0.0,0.0,0.0,0.0,37.17,,todo,,,Bills,,"77,120,126,128,131,137,140,144","341,635,160,312,331",
77_tp_e477f7,semantic,Monthly expenses and dues,medium,semantic,0.0,0.0,False,0.0,0.0,0.0,0.0,39.23,,todo,,,Bills,,"77,120,126,128,131,137,140,144","82,341,216,635,490",
78_tp_c31b3d,semantic,Medical appointments on my calendar,easy,semantic,0.2,0.125,True,1.0,0.125,0.125,0.3392,40.81,,todo,,,To Do,,"78,79,109,157,201,210,212,226","79,559,601,198,56",
78_tp_d52f8d,semantic,Healthcare and wellness reminders,easy,lexical_gap,0.2,0.125,True,1.0,0.125,0.125,0.3392,41.01,,reminder,,,Appointments,,"78,79,109,157,201,210,212,226","79,475,317,601,557",
61_tp_0bc3d9,semantic,In-memory datastore behavior notes,medium,lexical_gap,0.0,0.0,False,0.0,0.0,0.0,0.0,42.12,,study,,,Study - Redis,,"61,73,92,103,157,174,269,303","906,706,275,806,1006",
61_tp_d58d06,semantic,Cache eviction policy details,medium,semantic,0.2,0.125,True,1.0,0.125,0.125,0.3392,39.34,,study,,,Study - Redis,,"61,73,92,103,157,174,269,303","103,520,318,467,534",
56_tp_3888f9,semantic,Team meetings I have attended,easy,semantic,0.2,0.125,True,1.0,0.125,0.125,0.3392,40.55,,event,,,Meetings,,"56,106,107,149,170,233,251,283","107,263,371,448,294",
56_tp_b7d172,semantic,Sprint retrospective and planning notes,easy,lexical_gap,0.2,0.125,True,1.0,0.125,0.125,0.3392,36.58,,event,,,Meetings,,"56,106,107,149,170,233,251,283","107,203,466,372,82",
56_tp_1162c8,semantic,Sync notes with the team,easy,semantic,0.2,0.125,True,0.25,0.0312,0.125,0.1461,36.59,,meeting,,,Meetings,,"56,106,107,149,170,233,251,283","372,203,87,149,444",
56_tp_59ba00,semantic,Weekly standup summaries,easy,semantic,0.2,0.125,True,1.0,0.125,0.125,0.3392,37.99,,meeting,,,Meetings,,"56,106,107,149,170,233,251,283","107,87,453,565,438",
57_tp_d91b61,semantic,KnowledgeVault project milestones and deliverables,medium,semantic,0.6,0.375,True,0.5,0.2,0.375,0.4913,43.59,,project,,,Projects,,"57,88,89,90,91,94,95,96","125,90,638,95,88",
57_tp_92649a,semantic,What is the architecture of my main project?,hard,multi_hop,0.2,0.1429,True,0.5,0.0714,0.1429,0.214,39.73,,project,,,Projects,,"57,88,89,90,91,95,96","106,95,392,102,602",
57_tp_74e120,semantic,Current sprint goals for KnowledgeVault,medium,semantic,0.4,0.25,True,0.5,0.125,0.25,0.3601,39.21,,project,,,Projects,,"57,88,89,90,91,94,95,96","107,90,125,89,251",
175_tp_9c7eb5,semantic,Capstone project tasks and status,medium,semantic,0.4,0.25,True,1.0,0.2083,0.25,0.5087,38.53,,project,,,Projects,,"175,190,199,225,233,263,285,382","233,498,175,568,607",
175_tp_c51da4,semantic,University project submission deadlines,easy,semantic,0.2,0.125,True,1.0,0.125,0.125,0.3392,37.57,,project,,,Projects,,"175,190,199,225,233,263,285,382","233,498,506,411,620",
113_tp_6bba32,semantic,My personal reflections and journal entries,easy,semantic,0.0,0.0,False,0.0,0.0,0.0,0.0,40.42,,general,,,General,,"113,149,152,162,166,191","472,290,550,700,800",
113_tp_ff1a3d,semantic,What did I realize recently?,hard,semantic,0.0,0.0,False,0.0,0.0,0.0,0.0,38.63,,general,,,General,,"113,149,152,162,166,191","505,458,699,583,799",
113_tp_be2de4,semantic,Insights I've been writing down,medium,lexical_gap,0.0,0.0,False,0.0,0.0,0.0,0.0,38.73,,general,,,General,,"113,149,152,162,166,191","290,235,699,583,799",
56_tp_f28e5b,semantic,My career goals and direction notes,medium,semantic,0.0,0.0,False,0.0,0.0,0.0,0.0,38.69,,general,,,General,,"56,61,91,96,101,106,114,155","785,885,685,166,985",
56_tp_e42aaa,semantic,Long-term professional planning notes,hard,lexical_gap,0.0,0.0,False,0.0,0.0,0.0,0.0,37.4,,general,,,General,,"56,61,91,96,101,106,114,155","107,617,212,87,601",
85_tp_c33ed2,semantic,Time management and focus techniques,easy,semantic,0.6,0.375,True,1.0,0.325,0.375,0.6844,40.67,,reference,,,Reference - Productivity,,"85,199,224,240,248,286,429,453","240,248,565,521,224",
85_tp_a94724,semantic,Notes on staying productive while studying,medium,lexical_gap,0.2,0.125,True,1.0,0.125,0.125,0.3392,39.7,,reference,,,Reference - Productivity,,"85,199,224,240,248,286,429,453","240,380,680,780,880",
68_tp_025916,semantic,FastAPI route and dependency injection notes,medium,semantic,0.4,0.25,True,1.0,0.2083,0.25,0.5087,40.0,,reference,,,Reference - KnowledgeVault Backend,,"68,120,132,145,153,165,167,169","68,825,165,725,925",
68_tp_f99196,semantic,Python web framework notes for FastAPI,easy,lexical_gap,0.0,0.0,False,0.0,0.0,0.0,0.0,40.37,,study,,,Study - FastAPI,,"68,120,132,145,153,165,167,169","763,863,663,471,963",
68_tp_9b1c89,semantic,API endpoint design patterns in FastAPI,medium,semantic,0.4,0.25,True,1.0,0.1875,0.25,0.4852,40.84,,reference,,,Reference - KnowledgeVault Backend,,"68,120,132,145,153,165,167,169","68,825,725,165,925",
55_tp_fbaf81,semantic,SQLAlchemy ORM usage patterns,medium,lexical,0.2,0.125,True,1.0,0.125,0.125,0.3392,41.11,,reference,,,Reference - KnowledgeVault Backend,,"55,58,69,85,98,123,129,132","69,206,363,365,694",
55_tp_e342eb,semantic,Database session management in Python,medium,semantic,0.0,0.0,False,0.0,0.0,0.0,0.0,38.33,,study,,,Study - FastAPI,,"55,58,69,85,98,123,129,132","894,694,365,794,994",
55_tp_d34490,semantic,How do I fix N+1 query problems?,hard,semantic,0.0,0.0,False,0.0,0.0,0.0,0.0,39.04,,question,,,Questions,,"55,58,69,85,98,123,129,132","859,589,759,659,959",
66_tp_9be255,semantic,pgvector setup and index configuration,hard,lexical,0.4,0.25,True,1.0,0.25,0.25,0.5531,39.81,,reference,,,Reference - PostgreSQL,,"66,168,215,298,323,337,367,500","66,323,842,742,942",
66_tp_72bd4f,semantic,Vector similarity search configuration,hard,semantic,0.4,0.25,True,0.5,0.1458,0.25,0.3836,41.0,,study,,,Study - AI,,"66,168,215,298,323,337,367,500","333,66,168,252,696",
59_tp_a4350a,semantic,Algorithm and data structure study notes,medium,lexical,0.2,0.125,True,0.25,0.0312,0.125,0.1461,40.4,,study,,,Study - Algorithms,,"59,60,182,204,215,224,244,247","354,66,545,60,465",
59_tp_a3126e,semantic,Competitive programming problem patterns,hard,semantic,0.0,0.0,False,0.0,0.0,0.0,0.0,37.49,,study,,,Study - Algorithms,,"59,60,182,204,215,224,244,247","302,701,801,460,901",
59_tp_fe7b32,semantic,How do I solve graph traversal problems?,medium,semantic,0.4,0.25,True,1.0,0.2083,0.25,0.5087,44.09,,question,,,Questions,,"59,60,182,204,215,224,244,247","60,545,204,342,667",
59_tp_652a70,semantic,Operating systems exam preparation notes,medium,semantic,0.2,0.125,True,1.0,0.125,0.125,0.3392,43.36,,study,,,Study - Operating Systems,,"59,132,141,146,174,179,203,205","59,360,70,309,527",
59_tp_566c28,semantic,CPU scheduling algorithms I need to know,medium,semantic,0.2,0.125,True,1.0,0.125,0.125,0.3392,43.29,,study,,,Study - Operating Systems,,"59,132,141,146,174,179,203,205","179,810,710,566,910",
75_tp_eae57f,semantic,Computer networking concepts for university,medium,lexical,0.0,0.0,False,0.0,0.0,0.0,0.0,42.77,,study,,,Study - Computer Networks,,"75,118,159,162,168,180,237,276","327,532,491,722,822",
