benchmark_id,strategy,query,difficulty,precision_at_k,recall_at_k,hit,reciprocal_rank,latency_ms,predicted_intent,expected_intent,intent_correct,predicted_category,expected_category,category_correct,relevant_note_ids,retrieved_note_ids,error
25,semantic,Remind me to call mom,easy,0.2,0.5,True,0.3333,25.45,,todo,,,To Do,,"78,79","382,475,79,312,56",
26,semantic,What is the theory of relativity?,easy,0.0,0.0,False,0.0,21.77,,question,,,Questions,,"103,104,105","489,290,565,225,116",
27,semantic,Ideas for my new blog post,medium,0.2,0.25,True,0.2,26.11,,idea,,,Ideas,,"85,86,87,88","255,555,582,554,86",
28,semantic,How to set up a kubernetes cluster,hard,0.2,1.0,True,1.0,23.15,,study,,,Study Tasks,,62,"62,118,712,812,912",
29,semantic,Things to discuss with Sid at the next meeting,easy,0.6,0.75,True,1.0,28.27,,communication,,,Things to Tell Sid,,"54,55,56,57","57,54,56,423,247",
30,semantic,Study materials for machine learning,medium,0.0,0.0,False,0.0,26.28,,study,,,Study Tasks,,"64,65,66,67","309,528,439,619,357",
31,semantic,Meeting notes from Q3 planning,easy,0.4,1.0,True,0.5,25.78,,meeting,,,Meetings,,"106,107","203,106,87,290,107",
32,semantic,What are the project requirements for KnowledgeVault?,medium,0.4,0.25,True,1.0,26.04,,reference,,,Reference Notes,,"89,90,91,92,93,94,95,96","95,638,125,90,262",
33,semantic,Reminders for next week,medium,0.4,0.4,True,1.0,29.56,,todo,,,To Do,,"76,77,78,79,80","79,56,423,475,77",
34,semantic,Questions to ask during the interview,easy,0.4,1.0,True,0.5,27.39,,question,,,Questions,,"70,99","352,70,154,99,360",
35,semantic,Brainstorming app names,easy,0.2,0.25,True,1.0,28.42,,idea,,,Ideas,,"85,86,87,88","85,97,330,117,568",
36,semantic,Redis and PostgreSQL reference notes,hard,0.4,0.6667,True,1.0,39.21,,reference,,,Reference Notes,,"73,74,58","73,74,269,724,824",
37,semantic,Message to send to Siddhant about backend,medium,0.6,1.0,True,1.0,26.82,,communication,,,Things to Tell Sid,,"56,57,54","56,423,54,55,57",
38,semantic,Study schedule for finals,easy,0.0,0.0,False,0.0,25.6,,study,,,Study Tasks,,"58,59,60,61","198,617,434,601,448",
39,semantic,Sprint planning meeting summary,easy,0.2,0.5,True,1.0,25.2,,meeting,,,Meetings,,"107,106","107,294,466,498,263",
40,semantic,Timeline for the beta launch,medium,0.0,0.0,False,0.0,26.72,,todo,,,To Do,,"89,91","498,466,620,233,553",
41,semantic,Don't forget to buy milk,easy,0.2,1.0,True,1.0,27.91,,todo,,,To Do,,76,"76,322,475,84,286",
42,semantic,How does Redis eviction work?,easy,0.4,0.6667,True,1.0,28.43,,question,,,Questions,,"103,73,61","103,73,673,643,773",
43,semantic,Ideas for improving KnowledgeVault,medium,0.6,0.6,True,1.0,21.87,,idea,,,Ideas,,"86,87,88,89,90","90,125,89,638,88",
44,semantic,Docker commands cheat sheet,easy,0.4,1.0,True,1.0,26.27,,reference,,,Reference Notes,,"72,75","72,75,688,355,788",
45,semantic,Tell Sid about the hackathon,easy,0.4,1.0,True,1.0,25.09,,communication,,,Things to Tell Sid,,"55,54","55,57,54,423,448",
46,semantic,System design interview study,medium,0.4,0.5,True,1.0,28.22,,study,,,Study Tasks,,"70,99,59,60","70,99,360,309,106",
47,semantic,Weekly sync notes,easy,0.0,0.0,False,0.0,29.15,,meeting,,,Meetings,,"106,107","620,372,87,203,631",
48,semantic,Budget and monthly expenses,medium,0.2,0.5,True,1.0,25.29,,todo,,,To Do,,"82,77","82,216,535,281,606",
49,semantic,Health checkup and appointments,easy,0.2,0.3333,True,1.0,24.3,,todo,,,To Do,,"78,79,80","79,601,559,109,475",
50,semantic,What are PostgreSQL index types?,easy,0.2,0.3333,True,1.0,21.47,,question,,,Questions,,"104,74,58","104,417,831,731,931",
1,intent,What startup ideas do I have?,easy,0.2,0.3333,True,1.0,63.61,idea,idea,True,Ideas - AI,Ideas,True,"85,86,87","85,178",
2,intent,Show my AI research reading goals,easy,0.0,0.0,False,0.0,37.45,general,study,False,General,Study Tasks,False,"65,64,66,67","1077,1067,1029,977,967",
3,intent,How can I improve my health?,medium,0.0,0.0,False,0.0,22.81,question,todo,False,,To Do,,"83,84",,
4,intent,Show my finance reminders,easy,0.0,0.0,False,0.0,30.15,reminder,todo,False,Reminders,To Do,False,"77,82","557,542,312,84,80",
5,intent,Evaluation report work,medium,0.0,0.0,False,0.0,30.7,general,reference,False,General,Reference Notes,False,"90,89","1077,1067,1029,977,967",
6,intent,Markdown support,easy,0.0,0.0,False,0.0,30.85,general,reference,False,General,Reference Notes,False,"72,73,74,75","1077,1067,1029,977,967",
7,intent,Improve search latency,easy,0.0,0.0,False,0.0,35.65,general,reference,False,General,Reference Notes,False,"93,89","1077,1067,1029,977,967",
8,intent,Attachment upload feature,easy,0.0,0.0,False,0.0,37.82,general,reference,False,General,Reference Notes,False,94,"1077,1067,1029,977,967",
9,intent,Flutter improvements,easy,0.0,0.0,False,0.0,31.73,general,reference,False,General,Reference Notes,False,"97,98","1077,1067,1029,977,967",
10,intent,Networking concepts,easy,0.0,0.0,False,0.0,39.62,idea,study,False,Ideas - AI,Study Tasks,False,"71,62",85,
11,intent,Object oriented programming revision,easy,0.0,0.0,False,0.0,40.92,study,study,True,,Study Tasks,,"59,60",,
12,intent,Interview preparation,medium,0.0,0.0,False,0.0,27.69,general,study,False,General,Study Tasks,False,"70,99","1077,1067,1029,977,967",
13,intent,Portfolio website,easy,0.0,0.0,False,0.0,24.28,general,todo,False,General,To Do,False,"100,97","1077,1067,1029,977,967",
14,intent,Documentation tasks,easy,0.2,0.5,True,1.0,29.93,reference,todo,False,Reference - Knowledgevault Backend,To Do,False,"96,95",96,
15,intent,Deploy KnowledgeVault,easy,0.0,0.0,False,0.0,31.61,general,todo,False,General,To Do,False,91,"1077,1067,1029,977,967",
16,intent,Update GitHub README,easy,0.0,0.0,False,0.0,39.45,general,todo,False,General,To Do,False,96,"1077,1067,1029,977,967",
17,intent,Resume preparation,easy,0.0,0.0,False,0.0,31.45,general,todo,False,General,To Do,False,100,"1077,1067,1029,977,967",
18,intent,Weekend trip,easy,0.0,0.0,False,0.0,36.53,general,todo,False,General,To Do,False,81,"1077,1067,1029,977,967",
19,intent,Bills to pay,medium,0.0,0.0,False,0.0,32.29,todo,todo,True,Bills,To Do,True,"77,82","1035,935,835,735,375",
20,intent,Doctor appointment,easy,0.2,0.5,True,1.0,29.56,reminder,todo,False,Appointments,To Do,True,"78,79","79,557,542,312,84",
21,intent,Shopping list,medium,0.0,0.0,False,0.0,26.17,general,todo,False,General,To Do,False,76,"1077,1067,1029,977,967",
22,intent,Things I need to tell Sid,easy,0.4,0.5,True,0.5,45.53,communication,communication,True,Communication - Sid,Things to Tell Sid,True,"54,55,56,57","247,57,54",
23,intent,Next meeting with the design team,medium,0.0,0.0,False,0.0,26.49,event,meeting,False,,Meetings,,"106,107",,
24,intent,Project deadline for the alpha release,easy,0.0,0.0,False,0.0,30.06,general,project,False,General,Projects,False,"89,91","1077,1067,1029,977,967",
25,intent,Remind me to call mom,easy,0.0,0.0,False,0.0,29.06,communication,todo,False,,To Do,,"78,79",,
26,intent,What is the theory of relativity?,easy,0.0,0.0,False,0.0,28.52,question,question,True,,Questions,,"103,104,105",,
27,intent,Ideas for my new blog post,medium,0.0,0.0,False,0.0,28.22,idea,idea,True,,Ideas,,"85,86,87,88",,
28,intent,How to set up a kubernetes cluster,hard,0.0,0.0,False,0.0,29.93,question,study,False,,Study Tasks,,62,,
29,intent,Things to discuss with Sid at the next meeting,easy,0.4,0.5,True,0.5,34.01,communication,communication,True,Communication - Sid,Things to Tell Sid,True,"54,55,56,57","247,57,54",
30,intent,Study materials for machine learning,medium,0.0,0.0,False,0.0,25.82,study,study,True,,Study Tasks,,"64,65,66,67",,
31,intent,Meeting notes from Q3 planning,easy,0.0,0.0,False,0.0,26.54,event,meeting,False,,Meetings,,"106,107",,
32,intent,What are the project requirements for KnowledgeVault?,medium,0.0,0.0,False,0.0,29.34,question,reference,False,,Reference Notes,,"89,90,91,92,93,94,95,96",,
33,intent,Reminders for next week,medium,0.2,0.2,True,0.2,31.18,reminder,todo,False,Reminders,To Do,False,"76,77,78,79,80","557,542,312,84,80",
34,intent,Questions to ask during the interview,easy,0.0,0.0,False,0.0,26.63,communication,question,False,,Questions,,"70,99",,
35,intent,Brainstorming app names,easy,0.0,0.0,False,0.0,31.18,general,idea,False,General,Ideas,False,"85,86,87,88","1077,1067,1029,977,967",
36,intent,Redis and PostgreSQL reference notes,hard,0.2,0.3333,True,1.0,35.63,reference,reference,True,Reference - PostgreSQL,Reference Notes,True,"73,74,58","74,1105,1005,905,805",
37,intent,Message to send to Siddhant about backend,medium,0.0,0.0,False,0.0,28.67,communication,communication,True,,Things to Tell Sid,,"56,57,54",,
38,intent,Study schedule for finals,easy,0.0,0.0,False,0.0,24.91,study,study,True,,Study Tasks,,"58,59,60,61",,
39,intent,Sprint planning meeting summary,easy,0.0,0.0,False,0.0,24.2,event,meeting,False,,Meetings,,"107,106",,
40,intent,Timeline for the beta launch,medium,0.0,0.0,False,0.0,30.23,general,todo,False,General,To Do,False,"89,91","1077,1067,1029,977,967",
41,intent,Don't forget to buy milk,easy,0.2,1.0,True,0.5,54.72,todo,todo,True,Shopping,To Do,True,76,"322,76,1102,1098,1096",
42,intent,How does Redis eviction work?,easy,0.0,0.0,False,0.0,24.84,question,question,True,,Questions,,"103,73,61",,
43,intent,Ideas for improving KnowledgeVault,medium,0.0,0.0,False,0.0,27.39,idea,idea,True,,Ideas,,"86,87,88,89,90",,
44,intent,Docker commands cheat sheet,easy,0.0,0.0,False,0.0,30.85,general,reference,False,General,Reference Notes,False,"72,75","1077,1067,1029,977,967",
45,intent,Tell Sid about the hackathon,easy,0.2,0.5,True,0.3333,32.72,communication,communication,True,Communication - Sid,Things to Tell Sid,True,"55,54","247,57,54",
46,intent,System design interview study,medium,0.2,0.25,True,1.0,25.79,study,study,True,Study - System Design,Study Tasks,True,"70,99,59,60",70,
47,intent,Weekly sync notes,easy,0.0,0.0,False,0.0,31.71,general,meeting,False,General,Meetings,False,"106,107","1077,1067,1029,977,967",
48,intent,Budget and monthly expenses,medium,0.0,0.0,False,0.0,37.52,general,todo,False,General,To Do,False,"82,77","1077,1067,1029,977,967",
49,intent,Health checkup and appointments,easy,0.2,0.3333,True,1.0,35.71,reminder,todo,False,Appointments,To Do,True,"78,79,80","79,557,542,312,84",
50,intent,What are PostgreSQL index types?,easy,0.0,0.0,False,0.0,30.56,question,question,True,,Questions,,"104,74,58",,
1,hybrid,What startup ideas do I have?,easy,0.2,0.3333,True,1.0,93.55,idea,idea,True,Ideas - AI,Ideas,True,"85,86,87","85,525,617,134,441",
2,hybrid,Show my AI research reading goals,easy,0.0,0.0,False,0.0,101.44,general,study,False,General,Study Tasks,False,"65,64,66,67","529,617,416,85,230",
3,hybrid,How can I improve my health?,medium,0.4,1.0,True,1.0,83.26,question,todo,False,,To Do,,"83,84","84,109,83,79,286",
4,hybrid,Show my finance reminders,easy,0.4,1.0,True,0.3333,89.81,reminder,todo,False,Reminders,To Do,False,"77,82","312,216,82,77,393",
5,hybrid,Evaluation report work,medium,0.2,0.5,True,0.5,79.33,general,reference,False,General,Reference Notes,False,"90,89","616,90,485,453,375",
6,hybrid,Markdown support,easy,0.0,0.0,False,0.0,100.1,general,reference,False,General,Reference Notes,False,"72,73,74,75","558,568,492,582,96",
7,hybrid,Improve search latency,easy,0.2,0.5,True,1.0,85.56,general,reference,False,General,Reference Notes,False,"93,89","93,402,195,333,86",
8,hybrid,Attachment upload feature,easy,0.2,1.0,True,1.0,84.87,general,reference,False,General,Reference Notes,False,94,"94,642,492,96,432",
9,hybrid,Flutter improvements,easy,0.4,1.0,True,1.0,115.09,general,reference,False,General,Reference Notes,False,"97,98","98,97,93,372,564",
10,hybrid,Networking concepts,easy,0.0,0.0,False,0.0,131.83,idea,study,False,Ideas - AI,Study Tasks,False,"71,62","491,722,822,922,1022",
11,hybrid,Object oriented programming revision,easy,0.0,0.0,False,0.0,140.37,study,study,True,,Study Tasks,,"59,60","163,414,227,193,679",
12,hybrid,Interview preparation,medium,0.2,0.5,True,0.25,112.48,general,study,False,General,Study Tasks,False,"70,99","352,100,360,70,609",
13,hybrid,Portfolio website,easy,0.0,0.0,False,0.0,80.86,general,todo,False,General,To Do,False,"100,97","266,751,851,951,1051",
14,hybrid,Documentation tasks,easy,0.2,0.5,True,0.5,82.75,reference,todo,False,Reference - Knowledgevault Backend,To Do,False,"96,95","110,96,485,87,583",
15,hybrid,Deploy KnowledgeVault,easy,0.2,1.0,True,1.0,89.41,general,todo,False,General,To Do,False,91,"91,89,90,95,125",
16,hybrid,Update GitHub README,easy,0.0,0.0,False,0.0,91.25,general,todo,False,General,To Do,False,96,"440,501,395,522,400",
17,hybrid,Resume preparation,easy,0.2,1.0,True,1.0,90.88,general,todo,False,General,To Do,False,100,"100,525,142,185,523",
18,hybrid,Weekend trip,easy,0.2,1.0,True,0.25,84.33,general,todo,False,General,To Do,False,81,"115,535,77,81,128",
19,hybrid,Bills to pay,medium,0.4,1.0,True,1.0,108.83,todo,todo,True,Bills,To Do,True,"77,82","77,341,82,393,368",
20,hybrid,Doctor appointment,easy,0.4,1.0,True,0.5,87.66,reminder,todo,False,Appointments,To Do,True,"78,79","559,79,198,601,78",
21,hybrid,Shopping list,medium,0.2,1.0,True,0.25,98.81,general,todo,False,General,To Do,False,76,"393,606,322,76,475",
22,hybrid,Things I need to tell Sid,easy,0.8,1.0,True,1.0,92.36,communication,communication,True,Communication - Sid,Things to Tell Sid,True,"54,55,56,57","54,57,56,55,423",
23,hybrid,Next meeting with the design team,medium,0.2,0.5,True,0.25,76.23,event,meeting,False,,Meetings,,"106,107","57,88,568,106,448",
24,hybrid,Project deadline for the alpha release,easy,0.0,0.0,False,0.0,88.26,general,project,False,General,Projects,False,"89,91","233,498,453,111,160",
25,hybrid,Remind me to call mom,easy,0.2,0.5,True,0.3333,83.68,communication,todo,False,,To Do,,"78,79","382,475,79,312,56",
26,hybrid,What is the theory of relativity?,easy,0.0,0.0,False,0.0,87.85,question,question,True,,Questions,,"103,104,105","489,290,565,225,116",
27,hybrid,Ideas for my new blog post,medium,0.2,0.25,True,0.2,79.24,idea,idea,True,,Ideas,,"85,86,87,88","255,555,582,554,86",
28,hybrid,How to set up a kubernetes cluster,hard,0.2,1.0,True,1.0,78.68,question,study,False,,Study Tasks,,62,"62,118,712,812,912",
29,hybrid,Things to discuss with Sid at the next meeting,easy,0.6,0.75,True,1.0,78.51,communication,communication,True,Communication - Sid,Things to Tell Sid,True,"54,55,56,57","57,54,56,423,247",
30,hybrid,Study materials for machine learning,medium,0.0,0.0,False,0.0,83.11,study,study,True,,Study Tasks,,"64,65,66,67","309,528,439,619,357",
31,hybrid,Meeting notes from Q3 planning,easy,0.4,1.0,True,0.5,79.56,event,meeting,False,,Meetings,,"106,107","203,106,87,290,107",
32,hybrid,What are the project requirements for KnowledgeVault?,medium,0.4,0.25,True,1.0,92.91,question,reference,False,,Reference Notes,,"89,90,91,92,93,94,95,96","95,638,125,90,262",
33,hybrid,Reminders for next week,medium,0.4,0.4,True,1.0,96.67,reminder,todo,False,Reminders,To Do,False,"76,77,78,79,80","78,79,56,423,312",
34,hybrid,Questions to ask during the interview,easy,0.4,1.0,True,0.5,72.02,communication,question,False,,Questions,,"70,99","352,70,154,99,360",
35,hybrid,Brainstorming app names,easy,0.2,0.25,True,1.0,102.42,general,idea,False,General,Ideas,False,"85,86,87,88","85,97,330,117,160",
36,hybrid,Redis and PostgreSQL reference notes,hard,0.4,0.6667,True,1.0,92.87,reference,reference,True,Reference - PostgreSQL,Reference Notes,True,"73,74,58","73,74,269,724,824",
37,hybrid,Message to send to Siddhant about backend,medium,0.6,1.0,True,1.0,85.25,communication,communication,True,,Things to Tell Sid,,"56,57,54","56,423,54,55,57",
38,hybrid,Study schedule for finals,easy,0.0,0.0,False,0.0,79.32,study,study,True,,Study Tasks,,"58,59,60,61","198,617,434,601,448",
39,hybrid,Sprint planning meeting summary,easy,0.2,0.5,True,1.0,97.56,event,meeting,False,,Meetings,,"107,106","107,294,466,498,263",
40,hybrid,Timeline for the beta launch,medium,0.0,0.0,False,0.0,98.88,general,todo,False,General,To Do,False,"89,91","111,160,512,535,626",
41,hybrid,Don't forget to buy milk,easy,0.2,1.0,True,1.0,151.96,todo,todo,True,Shopping,To Do,True,76,"76,322,475,84,286",
42,hybrid,How does Redis eviction work?,easy,0.4,0.6667,True,1.0,99.99,question,question,True,,Questions,,"103,73,61","103,73,643,673,773",
43,hybrid,Ideas for improving KnowledgeVault,medium,0.6,0.6,True,1.0,121.62,idea,idea,True,,Ideas,,"86,87,88,89,90","90,125,89,638,88",
44,hybrid,Docker commands cheat sheet,easy,0.4,1.0,True,1.0,102.3,general,reference,False,General,Reference Notes,False,"72,75","72,75,355,688,788",
45,hybrid,Tell Sid about the hackathon,easy,0.4,1.0,True,1.0,93.05,communication,communication,True,Communication - Sid,Things to Tell Sid,True,"55,54","55,57,54,423,448",
46,hybrid,System design interview study,medium,0.4,0.5,True,1.0,84.83,study,study,True,Study - System Design,Study Tasks,True,"70,99,59,60","70,99,360,309,106",
47,hybrid,Weekly sync notes,easy,0.0,0.0,False,0.0,85.89,general,meeting,False,General,Meetings,False,"106,107","620,372,87,203,631",
48,hybrid,Budget and monthly expenses,medium,0.2,0.5,True,1.0,80.95,general,todo,False,General,To Do,False,"82,77","82,216,535,281,606",
49,hybrid,Health checkup and appointments,easy,0.2,0.3333,True,1.0,87.48,reminder,todo,False,Appointments,To Do,True,"78,79,80","79,601,559,109,475",
50,hybrid,What are PostgreSQL index types?,easy,0.2,0.3333,True,1.0,81.27,question,question,True,,Questions,,"104,74,58","104,417,731,831,931",
