query_id,question,category,difficulty,status,retrieval_only,answer_preview,correctness,groundedness,faithfulness,hallucination,completeness,overall_weighted,recall_at_expected,context_utilisation,retrieved_note_ids,expected_note_ids,retrieval_ms,llm_ms,total_ms,estimated_prompt_tokens,estimated_completion_tokens,estimated_cost_usd,root_cause,error
aq_017,What have I decided about KnowledgeVault's retrieval system and why?,multi_hop,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0656,0.0000,"88,555,89,90,96,523,262,125","57,65,86,88,89,90,91,94,95,96,97,107,119,125,183,184,185,186,201,213,222,228,247,251,252,262,289,298,310,311,329,337,375,381,386,398,402,413,426,428,430,444,446,452,453,486,487,492,518,523,531,533,555,558,603,607,623,625,628,638,641,644,666,683,696,702,717,718,721,726,728,729,730,732,735,753,766,783,796,802,817,818,821,826,828,829,830,832,835,853,866,883,896,902,917,918,921,926,928,929,930,932,935,953,966,983,996,1002,1017,1018,1021,1026,1028,1029,1030,1032,1035,1053,1066,1083,1096,1102",94.00,64812.00,64906.00,634,28,0.00005595,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_018,How does the evaluation framework work in KnowledgeVault?,multi_hop,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0833,0.0000,"90,555,89,251,125,616,96,88","90,119,136,143,183,184,210,213,251,255,310,373,375,381,398,402,453,464,485,487,509,523,555,588,595,616,649,703,717,729,735,745,803,817,829,835,845,903,917,929,935,945,1003,1017,1029,1035,1045,1103",94.00,64641.00,64735.00,621,28,0.00005498,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_019,What are the known bugs and issues I've encountered building KnowledgeVault?,multi_hop,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0630,0.0000,"638,90,251,428,728,828,928,1028","57,88,89,90,91,94,95,96,97,107,125,129,136,147,163,168,170,173,185,188,244,246,247,249,251,255,258,262,270,279,310,328,335,337,340,346,357,362,413,421,426,428,430,432,444,447,452,453,461,473,488,494,502,519,522,523,534,551,555,558,574,589,591,603,604,607,628,632,637,638,652,659,678,684,692,709,728,732,733,739,746,749,752,753,759,778,784,792,809,828,832,833,839,846,849,852,853,859,878,884,892,909,928,932,933,939,946,949,952,953,959,978,984,992,1009,1028,1032,1033,1039,1046,1049,1052,1053,1059,1078,1084,1092",94.00,64531.00,64625.00,442,28,0.00004155,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_020,What is the relationship between embedding quality and RAG answer quality?,multi_hop,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0455,0.0000,"485,531,683,783,883,983,1083,310","64,65,86,88,112,119,148,158,168,184,186,196,197,199,205,213,215,222,228,239,252,268,273,289,298,300,310,313,323,329,332,365,369,375,376,378,381,386,398,402,404,430,432,436,446,454,470,478,485,486,487,488,492,502,518,523,531,533,540,555,558,564,569,590,600,604,615,616,623,625,637,640,644,655,666,681,682,683,692,693,694,696,702,708,717,718,721,726,729,730,733,735,737,742,749,750,754,766,781,782,783,792,793,794,796,802,808,817,818,821,826,829,830,833,835,837,842,849,850,854,866,881,882,883,892,893,894,896,902,908,917,918,921,926,929,930,933,935,937,942,949,950,954,966,981,982,983,992,993,994,996,1002,1008,1017,1018,1021,1026,1029,1030,1033,1035,1037,1042,1049,1050,1054,1066,1081,1082,1083,1092,1093,1094,1096,1102,1108",78.00,64344.00,64422.00,433,28,0.00004087,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_021,"How do I balance study, projects, and personal life as a student?",multi_hop,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.1091,0.0000,"380,680,780,880,980,1080,272,603","58,62,66,79,85,109,156,157,169,179,201,210,212,224,240,248,301,303,343,348,355,380,410,429,434,438,448,453,540,575,601,612,617,623,634,664,680,688,698,764,780,788,798,864,880,888,898,964,980,988,998,1064,1080,1088,1098",110.00,64375.00,64485.00,409,28,0.00003908,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_022,What tasks and reminders do I have pending?,temporal,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.1250,0.0000,"392,680,79,372,620,498,612,191","55,233,368,498,506,542,607,753",78.00,64688.00,64766.00,721,28,0.00006247,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_023,What appointments and scheduled events do I have coming up?,temporal,easy,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.1000,0.0000,"559,79,620,601,609,102,175,352","78,79,109,128,179,201,224,226,231,240,348,434,438,448,559,575,601,612,617,634,664,698,764,798,864,898,964,998,1064,1098",109.00,65031.00,65140.00,672,28,0.00005880,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_024,What are my financial obligations this month?,temporal,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.2727,0.0000,"82,77,341,635,216,79,601,162","77,140,160,164,178,312,341,368,431,490,635",62.00,64594.00,64656.00,596,28,0.00005310,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_025,What trips am I planning in the near future?,temporal,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.4444,0.0000,"627,81,343,538,77,407,216,272","81,128,324,407,463,535,538,596,627",94.00,64734.00,64828.00,695,28,0.00006053,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_026,How does Kafka compare to Redis for building a job queue?,comparison,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.1429,0.0000,"643,673,773,873,973,1073,450,671","56,61,71,73,92,103,141,157,174,246,269,297,303,305,346,371,392,421,423,433,450,466,523,534,536,544,602,643,671,673,684,705,724,746,771,773,784,805,824,846,871,873,884,905,924,946,971,973,984,1005,1024,1046,1071,1073,1084,1105",172.00,65094.00,65266.00,334,28,0.00003345,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_027,What are the trade-offs between Python and Go for backend development?,comparison,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0296,0.0000,"471,663,763,863,963,1063,272,177","59,60,108,113,114,138,152,162,170,174,177,182,190,191,200,202,204,206,208,232,239,244,247,258,261,262,265,266,272,283,284,295,297,300,304,318,320,326,327,328,332,334,335,336,339,341,346,348,354,358,359,364,366,370,372,374,375,376,378,388,391,396,404,409,413,414,420,427,428,437,442,443,445,447,450,451,458,460,464,471,475,481,482,483,486,488,496,499,503,507,512,516,530,533,536,538,540,541,542,545,549,552,558,561,563,566,572,573,577,579,581,586,587,588,589,595,597,598,599,603,605,607,610,618,619,623,624,629,631,632,633,634,640,645,649,651,657,659,660,661,662,663,664,671,689,693,698,701,702,708,709,710,711,716,721,728,734,735,736,738,743,745,751,753,754,755,757,759,760,761,762,763,764,771,789,793,798,801,802,808,809,810,811,816,821,828,834,835,836,838,843,845,851,853,854,855,857,859,860,861,862,863,864,871,889,893,898,901,902,908,909,910,911,916,921,928,934,935,936,938,943,945,951,953,954,955,957,959,960,961,962,963,964,971,989,993,998,1001,1002,1008,1009,1010,1011,1016,1021,1028,1034,1035,1036,1038,1043,1045,1051,1053,1054,1055,1057,1059,1060,1061,1062,1063,1064,1071,1089,1093,1098,1101,1102,1108",172.00,65031.00,65203.00,413,28,0.00003938,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_028,Compare LRU and LFU cache eviction policies.,comparison,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0571,0.0000,"520,318,103,579,736,836,936,1036","57,62,65,67,89,95,99,102,103,106,124,131,146,156,166,168,207,213,215,219,224,228,237,247,261,262,269,275,282,284,285,295,303,318,319,328,333,336,354,368,372,374,386,404,405,429,431,432,442,463,467,484,487,498,503,506,510,520,524,528,529,530,533,534,554,559,561,565,579,592,595,602,620,627,628,635,644,669,670,681,685,692,706,708,721,724,729,732,736,738,755,769,770,781,785,792,806,808,821,824,829,832,836,838,855,869,870,881,885,892,906,908,921,924,929,932,936,938,955,969,970,981,985,992,1006,1008,1021,1024,1029,1032,1036,1038,1055,1069,1070,1081,1085,1092,1106,1108",156.00,64641.00,64797.00,397,28,0.00003817,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_029,Reranking vs hybrid fusion: which approach is better for RAG?,comparison,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.1489,0.0000,"386,252,696,796,896,996,1096,595","67,119,123,176,183,213,228,252,375,381,386,486,518,523,555,648,676,696,702,717,718,729,735,776,796,802,817,818,829,835,876,896,902,917,918,929,935,976,996,1002,1017,1018,1029,1035,1076,1096,1102",579.00,64671.00,65250.00,404,28,0.00003870,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_030,What are the trade-offs between monolith and microservices architectures?,comparison,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0455,0.0000,"105,263,156,178,372,189,697,797","62,101,118,180,181,225,263,299,355,372,383,392,408,410,519,534,628,652,665,688,712,732,739,752,765,788,812,832,839,852,865,888,912,932,939,952,965,988,1012,1032,1039,1052,1065,1088",110.00,64609.00,64719.00,605,28,0.00005377,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_031,Summarize all my AI and machine learning study notes.,synthesis,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.2000,0.0000,"87,529,85,230,525,416,619,617","60,64,72,85,87,101,110,112,114,117",79.00,64359.00,64438.00,727,28,0.00006292,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_032,What are all the KnowledgeVault architectural decisions I've documented?,synthesis,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0964,0.0000,"95,90,57,628,732,832,932,1032","57,62,65,70,87,88,89,90,91,94,95,96,97,102,106,107,125,145,156,185,227,231,236,247,251,255,262,267,305,309,310,337,344,346,360,372,386,392,405,413,420,426,428,430,439,442,444,452,453,480,482,498,523,528,538,540,555,568,580,582,602,603,607,616,626,628,638,728,732,753,755,828,832,853,855,928,932,953,955,1028,1032,1053,1055",109.00,64954.00,65063.00,354,28,0.00003495,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_033,What programming languages and technologies have I been studying?,synthesis,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0000,0.0000,"563,266,751,851,951,1051,357,416","59,60,108,113,114,138,152,162,174,177",937.00,64079.00,65016.00,488,28,0.00004500,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_034,Summarize my health and wellness notes.,synthesis,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0488,0.0000,"87,212,444,575,583,699,799,899","79,109,133,136,157,201,202,210,212,286,288,317,348,355,380,410,434,472,538,548,574,575,601,621,622,631,664,680,688,764,780,788,864,880,888,964,980,988,1064,1080,1088",500.00,63250.00,63750.00,522,28,0.00004755,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_035,What are all my startup ideas and business notes?,synthesis,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.2500,0.0000,"85,525,459,134,617,441,178,87","85,86,117,120,125,128,131,134",3531.00,64156.00,67687.00,709,28,0.00006157,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_036,What have I been learning lately?,ambiguous,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0000,0.0000,"357,505,119,613,69,272,540,603","140,144,145,149,152,163,170,171",437.00,64344.00,64781.00,757,28,0.00006517,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_037,What technical problems have I been solving?,ambiguous,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.1250,0.0000,"647,357,199,522,591,632,453,99","94,136,163,246,270,335,340,357",109.00,64188.00,64297.00,737,28,0.00006368,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_038,What are the most important things I've realized this month?,ambiguous,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0000,0.0000,"647,442,755,855,955,1055,77,212","63,102,140,154,163,170",484.00,64360.00,64844.00,440,28,0.00004140,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_039,Notes related to my project,ambiguous,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0000,0.0000,"87,106,444,290,583,699,799,899","62,89,91,92,97,117,118,134",125.00,64031.00,64156.00,468,28,0.00004350,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_040,Show all my communication and meeting notes.,category,easy,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.2500,0.0000,"372,568,371,56,382,141,290,583","54,55,56,57,106,107,117,141",125.00,63641.00,63766.00,741,28,0.00006397,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_041,What reminders and shopping lists do I have?,category,easy,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.1667,0.0000,"475,393,216,322,680,76,606,620","76,115,122,139,164,168",110.00,64500.00,64610.00,712,28,0.00006180,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_042,What ideas am I excited about?,category,easy,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.1667,0.0000,"85,166,685,785,885,985,1085,416","85,86,95,97,117,121",109.00,64375.00,64484.00,354,28,0.00003495,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_043,Show all my university study notes.,category,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.0000,0.0000,"290,540,583,699,799,899,999,1099","138,175,198,227,231,233,236,270",94.00,63688.00,63782.00,398,28,0.00003825,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_044,What is BRPOPLPUSH?,factual_lookup,hard,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.4444,0.0000,"643,673,773,873,973,1073,246,684","246,433,643,673,684,705,773,784,805,873,884,905,973,984,1005,1073,1084,1105",125.00,64562.00,64687.00,323,28,0.00003263,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_045,What is Atomic Habits about?,factual_lookup,easy,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.5000,0.0000,"482,229,690,790,890,990,1090,73","482,557",141.00,63859.00,64000.00,357,28,0.00003518,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_046,What is the walrus operator in Python?,factual_lookup,easy,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,1.0000,0.0000,"336,588,388,396,232,610,640,587",336,109.00,64313.00,64422.00,756,28,0.00006510,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
aq_047,What is CQRS?,factual_lookup,medium,degraded,True,AI-generated responses are temporarily unavailable. Here are the most relevant notes we found for your question.,,,,,,,0.6364,0.0000,"253,656,756,856,956,1056,217,238","238,253,656,744,756,844,856,944,956,1044,1056",172.00,63671.00,63843.00,408,28,0.00003900,evaluator_failure,Judge Gemini failed after 5 retries due to rate limiting (429)
